,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Trincomalee,LK,80.62,scattered clouds,8.5711,81.2335,Welcombe Hotel
367,Along,IN,67.98,overcast clouds,28.1667,94.7667,Hotel West
368,Lorengau,PG,83.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
375,Pasighat,IN,75.94,broken clouds,28.0667,95.3333,Siang Guest House
376,El Alto,PE,68.76,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
378,Mangan,IN,67.53,scattered clouds,27.5167,88.5333,Hotel Mout View
381,Presidente Medici,BR,72.34,moderate rain,-11.1753,-61.9014,Oliveira Palace Hotel
382,Pouembout,NC,82.54,clear sky,-21.1333,164.9,Camping de Tipenga
384,Carutapera,BR,73.9,overcast clouds,-1.195,-46.02,Lidera
387,Bulawayo,ZW,68.59,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
391,Onverwacht,SR,76.86,few clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
395,Kieta,PG,84.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
397,Kyaukse,MM,83.77,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
398,Male,MV,82.54,broken clouds,4.1748,73.5089,Hotel Octave Maldives
400,Puerto Baquerizo Moreno,EC,72.05,clear sky,-0.9,-89.6,Hotel los Algarrobos
402,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
409,Nioki,CD,73.78,overcast clouds,-2.7167,17.6833,
410,Lakes Entrance,AU,75.16,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
415,Launceston,AU,84.15,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
417,Mbuguni,TZ,75.33,overcast clouds,-3.5667,36.95,kaza Moyo Modern Resort
423,Tagusao,PH,81.07,broken clouds,9.1924,117.8141,Toledo
425,Bandarbeyla,SO,78.67,broken clouds,9.4942,50.8122,JABIR HOTEL
430,Nioro,GM,73.6,broken clouds,13.35,-15.75,
432,Puerto Ayacucho,VE,73.26,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
434,Medowie,AU,84.45,broken clouds,-32.7333,151.8667,
435,Teluk Nibung,ID,83.34,overcast clouds,3.001,99.8164,Hotel Assyifa
450,Puerto Madryn,AR,74.71,clear sky,-42.7692,-65.0385,Hotel Tolosa
451,Khandbari,NP,65.82,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
453,Acajutla,SV,79.61,scattered clouds,13.5928,-89.8275,asi es
457,Manaure,CO,75.4,overcast clouds,11.7751,-72.4445,Hotel Palaaima
459,Owerri,NG,74.32,scattered clouds,5.4833,7.0304,Donamario
461,Cozumel,MX,77.07,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
462,Urucara,BR,73.58,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
463,Zhuhai,CN,67.98,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
466,Acapulco,MX,75.76,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
