City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,Dudinka,69.4058,86.1778,-3.39,73,100,26.98,RU,2022-01-07 22:28:07
337,Bideford,51.0179,-4.2046,48.96,82,98,11.72,GB,2022-01-07 22:28:08
338,Hovd,48.0056,91.6419,4.32,87,100,0.6,MN,2022-01-07 22:28:08
339,Juba,4.8517,31.5825,78.84,51,42,3.31,SS,2022-01-07 22:28:09
340,Vila Franca Do Campo,37.7167,-25.4333,59.2,70,62,5.23,PT,2022-01-07 22:28:09
341,Okhotsk,59.3833,143.3,10.67,82,100,9.62,RU,2022-01-07 22:28:09
342,Naifaru,5.4444,73.3657,81.23,75,25,9.89,MV,2022-01-07 22:28:10
343,Constitucion,-35.3333,-72.4167,69.51,63,15,13.78,CL,2022-01-07 22:28:10
344,Kalmunai,7.4167,81.8167,76.75,84,75,6.93,LK,2022-01-07 22:28:11
345,Surgut,61.25,73.4167,24.98,100,100,7.0,RU,2022-01-07 22:27:47
346,Beroroha,-21.6667,45.1667,77.47,76,63,1.16,MG,2022-01-07 22:28:11
347,Rio Grande,-32.035,-52.0986,70.79,63,23,15.39,BR,2022-01-07 22:26:16
348,Alassio,44.0039,8.1671,48.49,64,20,5.75,IT,2022-01-07 22:28:12
349,Marathon,44.9,-89.7668,9.93,61,0,6.91,US,2022-01-07 22:25:47
350,Ponta Delgada,37.7333,-25.6667,59.5,62,75,5.75,PT,2022-01-07 22:28:12
351,Fortuna,40.5982,-124.1573,53.19,89,100,1.99,US,2022-01-07 22:28:13
352,Tevaitoa,-16.7833,-151.5,81.84,77,55,12.64,PF,2022-01-07 22:28:13
353,George Town,5.4112,100.3354,80.53,83,20,2.3,MY,2022-01-07 22:25:08
354,Oistins,13.0667,-59.5333,78.89,73,40,19.57,BB,2022-01-07 22:28:13
355,Sturgis,41.7992,-85.4192,19.24,79,100,10.36,US,2022-01-07 22:23:52
356,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,67,75,4.47,RU,2022-01-07 22:28:14
357,Olafsvik,64.8945,-23.7142,36.34,68,93,21.99,IS,2022-01-07 22:28:14
358,San Roque,36.2107,-5.3842,52.63,82,0,6.91,ES,2022-01-07 22:28:15
359,Cairns,-16.9167,145.7667,86.11,79,28,2.3,AU,2022-01-07 22:27:00
360,Salinopolis,-0.6136,-47.3561,77.74,87,84,8.61,BR,2022-01-07 22:28:15
361,Ardakan,32.31,54.0175,39.58,31,0,4.7,IR,2022-01-07 22:28:16
362,Kjollefjord,70.9457,27.3465,28.45,86,20,12.66,NO,2022-01-07 22:28:16
363,Udachnyy,66.4167,112.4,-35.79,100,87,5.08,RU,2022-01-07 22:28:16
364,Sao Filipe,14.8961,-24.4956,73.51,70,87,7.31,CV,2022-01-07 22:28:17
365,Toronto,43.7001,-79.4163,20.16,64,100,3.0,CA,2022-01-07 22:24:07
366,Whitehorse,60.7161,-135.0538,-9.81,99,100,4.34,CA,2022-01-07 22:27:31
367,Vedasandur,10.5333,77.95,69.3,96,14,4.12,IN,2022-01-07 22:28:17
368,Oranjemund,-28.55,16.4333,62.56,93,0,1.7,NA,2022-01-07 22:28:17
369,Odda,60.0691,6.5457,22.59,90,80,7.09,NO,2022-01-07 22:28:18
370,Antofagasta,-23.65,-70.4,67.28,73,86,6.8,CL,2022-01-07 22:28:18
371,Guerrero Negro,27.9769,-114.0611,68.67,49,80,5.73,MX,2022-01-07 22:28:19
372,Opunake,-39.4556,173.8583,74.34,56,21,8.5,NZ,2022-01-07 22:29:19
373,Labuhan,-6.8844,112.2051,76.73,82,99,8.01,ID,2022-01-07 22:29:19
374,Chauk,20.8833,94.8167,64.47,60,33,4.92,MM,2022-01-07 22:29:20
375,Nemuro,43.3236,145.575,21.72,70,48,8.66,JP,2022-01-07 22:29:20
376,Menongue,-14.6585,17.691,64.06,86,100,3.42,AO,2022-01-07 22:29:15
377,Shenjiamen,29.9576,122.298,46.9,71,98,11.21,CN,2022-01-07 22:29:21
378,Dukuhturi,-6.9,109.0833,77.83,83,99,3.76,ID,2022-01-07 22:29:21
379,Guanica,17.9716,-66.908,81.21,75,0,5.99,PR,2022-01-07 22:29:22
380,Komsomolskiy,40.4272,71.7189,38.62,93,100,4.61,UZ,2022-01-07 22:29:22
381,Floriano,-6.7669,-43.0225,77.54,88,100,1.21,BR,2022-01-07 22:29:22
382,Barda,40.3744,47.1267,47.25,47,100,1.25,AZ,2022-01-07 22:29:23
383,Kununurra,-15.7667,128.7333,75.18,83,98,6.91,AU,2022-01-07 22:29:23
